935,1970,7.86,BlanchedAlmond,Japanese Ash,Mahogany,Rosewood,maple,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
672,1997,6.44,Olive,Basswood,Wenge,Rosewood,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
818,1970,10.25,DimGray,Alder,Wenge,Maple,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,True
177,1947,9.62,LightPink,Walnut,Koa,Ebony,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
941,1953,7.44,SpringGreen,Alder,Rosewood,Ebony,maple,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,True
667,1997,11.46,OldLace,Japanese Ash,Mahogany,Rosewood,walnut,490R & 490T,490R & 490T,490R & 490T,True
436,1955,5.15,FireBrick,Alder,Maple,Maple,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
421,1975,8.8,Silver,Walnut,Koa,Maple,maple,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,True
83,1983,12.13,RosyBrown,Basswood,Koa,Maple,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,True
949,1950,5.73,SteelBlue,Alder,Koa,Ebony,walnut,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
286,1996,7.81,Brown,Basswood,Koa,Rosewood,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
50,1945,8.66,DarkKhaki,Basswood,Koa,Rosewood,walnut,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,True
982,1971,8.31,LightSkyBlue,Mahogany,Mahogany,Ebony,walnut,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,False
565,1961,7.96,MediumTurquoise,Alder,Rosewood,Ebony,walnut,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
577,1965,10.54,Chartreuse,Alder,Maple,Rosewood,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
239,1965,11.32,PaleVioletRed,Mahogany,Koa,Ebony,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
896,1948,9.73,YellowGreen,Alder,Mahogany,Maple,walnut,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
711,1969,10.46,Indigo,Swamp Ash,Mahogany,Maple,walnut,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
592,1981,9.16,Lavender,Swamp Ash,Mahogany,Maple,walnut,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,False
167,1959,11.65,Green,Korina,Wenge,Maple,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
266,1952,9.83,LightBlue,Maple,Koa,Ebony,maple,'57 Classic,'57 Classic,'57 Classic,False
417,1946,5.06,Lime,Mahogany,Mahogany,Ebony,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,True
285,1957,11.72,DarkGreen,Maple,Koa,Rosewood,maple,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
23,1978,12.29,DarkViolet,Maple,Mahogany,Rosewood,maple,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
5,1999,10.25,Teal,Korina,Mahogany,Rosewood,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,True
662,1981,7.67,DarkGray,Mahogany,Maple,Rosewood,walnut,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
283,1987,5.72,FloralWhite,Maple,Mahogany,Rosewood,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,True
468,1990,9.93,MintCream,Walnut,Koa,Ebony,maple,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
811,1948,7.96,SeaShell,Maple,Mahogany,Ebony,maple,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,True
326,1975,7.68,MediumAquaMarine,Alder,Mahogany,Ebony,walnut,490R & 490T,490R & 490T,490R & 490T,False
378,1958,11.19,LimeGreen,Maple,Maple,Rosewood,maple,Dirty Fingers,Dirty Fingers,Dirty Fingers,True
707,1966,12.47,DarkOliveGreen,Mahogany,Wenge,Rosewood,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
356,1961,6.7,Olive,Maple,Koa,Rosewood,walnut,Fender Vintage,Fender Vintage,Fender Vintage,True
556,1960,6.12,Blue,Mahogany,Rosewood,Rosewood,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,True
738,1957,7.57,SaddleBrown,Swamp Ash,Maple,Ebony,maple,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,True
926,1982,10.46,OrangeRed,Walnut,Koa,Rosewood,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
937,1991,10.99,Peru,Alder,Rosewood,Rosewood,maple,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,True
58,1993,11.19,PaleTurquoise,Swamp Ash,Wenge,Ebony,maple,Fishman Rare Earth,Fishman Rare Earth,Fishman Rare Earth,True
398,1973,7.36,Linen,Walnut,Maple,Rosewood,maple,496 & 500T,496 & 500T,496 & 500T,True
885,1968,11.16,CornflowerBlue,Mahogany,Koa,Maple,maple,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,DiMarzio DP419 Area 67,True
757,1954,12.41,Wheat,Japanese Ash,Mahogany,Rosewood,maple,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,True
76,1945,12.35,Blue,Basswood,Wenge,Ebony,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,True
917,1968,7.57,SaddleBrown,Alder,Wenge,Maple,walnut,Lollar Imperial Humbucker,Lollar Imperial Humbucker,Lollar Imperial Humbucker,False
28,1993,10.7,LightBlue,Maple,Mahogany,Maple,walnut,'57 Classic,'57 Classic,'57 Classic,False
324,1976,10.73,Wheat,Korina,Rosewood,Rosewood,walnut,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,Railhammer Hyper Vintage Humbucker,False
962,1998,5.26,LightGoldenRodYellow,Alder,Rosewood,Rosewood,walnut,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,True
155,1972,6.78,AntiqueWhite,Basswood,Maple,Ebony,maple,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,True
394,1962,8.21,Bisque,Maple,Mahogany,Ebony,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
687,1981,5.82,SteelBlue,Alder,Mahogany,Ebony,maple,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,Seymour Duncan Antiquity P-90,False
70,1954,5.12,SaddleBrown,Mahogany,Mahogany,Maple,walnut,Burstbucker,Burstbucker,Burstbucker,False
341,1981,6.31,MediumSpringGreen,Korina,Koa,Rosewood,walnut,EMG-81 Humbucking Active,EMG-81 Humbucking Active,EMG-81 Humbucking Active,False
597,1987,6.34,Chartreuse,Japanese Ash,Maple,Maple,walnut,Burstbucker,Burstbucker,Burstbucker,False
495,1990,8.13,MediumTurquoise,Japanese Ash,Maple,Rosewood,walnut,EMG 85 Active,EMG 85 Active,EMG 85 Active,False
800,1984,6.4,CornflowerBlue,Korina,Koa,Maple,maple,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,Lace Sensor Blue-Silver-Red,False
990,1961,10.64,SeaShell,Maple,Rosewood,Maple,walnut,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,Seymour Duncan SH-13 Dimebucker,False
571,1956,11.23,Chartreuse,Basswood,Maple,Maple,maple,'57 Classic,'57 Classic,'57 Classic,True
504,1998,9.54,DarkOliveGreen,Alder,Wenge,Ebony,walnut,Lollar Precision Bass,Lollar Precision Bass,Lollar Precision Bass,False
30,1979,10.64,RoyalBlue,Japanese Ash,Wenge,Maple,walnut,496 & 500T,496 & 500T,496 & 500T,False
202,1983,10.47,Wheat,Japanese Ash,Mahogany,Maple,walnut,496 & 500T,496 & 500T,496 & 500T,False
458,1965,11.92,MediumAquaMarine,Walnut,Mahogany,Maple,maple,Fender Vintage Noiseless,Fender Vintage Noiseless,Fender Vintage Noiseless,True
393,1983,8.87,DarkSlateGray,Swamp Ash,Maple,Ebony,walnut,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,False
878,1976,11.65,Violet,Japanese Ash,Koa,Rosewood,maple,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,LR Baggs Anthem tru-Mic,False
